"Table 48. Providers and users of long-term care services in Washington, by sector and selected characteristics: 2015 - 2016",,,,,,,,,,,
Service provided (percentage),,,,,,,,,,,
Diagnosed with high blood pressure or hypertension,47.8,"(44.5, 51.1)",82.1,"(81.1, 83.1)",41.3,"(37.1, 45.5)",65.9,"(64.1, 67.6)",56.8††,"(48.0, 65.6)",
Diagnosed with osteoporosis,38.5,"(22.5, 54.5)",16.5,"(15.5, 17.4)",7,"(6.0, 7.9)",17.1,"(15.5, 18.8)",31.8††,"(25.4, 38.2)",
Need assistance in physical Eating,functioning (percentage):,,,,,,,,,,
Bathing Dressing Toileting,,,,,,,,,,,
Transferring in and out of,,57.8,"(42.9, 72.7)",62.2,"(57.5, 66.9)",---,---,53.6,"(49.9, 57.3)",23.3,"(16.9, 29.8)"
Walking,,47.4,"(25.1, 69.7)",98.3,"(97.7, 99.0)",---,---,97.4,"(96.8, 98.0)",55.6,"(45.8, 65.4)"
,,44.2,"(26.3, 62.0)",91.6,"(89.5, 93.8)",---,---,93.2,"(92.2, 94.1)",46.5,"(39.6, 53.3)"
,,60.7,"(48.5, 72.8)",81.1,"(77.1, 85.1)",---,---,90.7,"(89.5, 91.9)",39,"(30.0, 47.9)"
,a chair or bed,52,"(37.9, 66.0)",92.8,"(90.6, 95.0)",---,---,88.6,"(87.3, 90.0)",28.6,"(21.3, 35.9)"
,,63.8,"(53.9, 73.7)",97.5,"(96.6, 98.4)",---,---,93.6,"(92.4, 94.8)",50.3,"(38.6, 61.9)"
Used Medicaid for long-term care services (percentage),,63,"(54.9, 71.2)",7.1,"(4.8, 9.4)",---,---,59.6,"(57.0, 62.2)",27.6,"(18.4, 36.8)"
Adverse events (percentage Overnight hospital stay,):,,,,,,,,,,
Emergency department vi,,,,,,,,,,,
,,6.8,"(3.7, 9.8)",12.8,"(12.0, 13.6)",---,---,---,---,7.5††,"(5.7, 9.2)"
,sit,10.7,"(7.1, 14.3)",16.3,"(15.5, 17.1)",---,---,---,---,13.2††,"(10.9, 15.6)"
